Perfil_N;Pico_1_detrend;Pico_2_detrend;Media_Z_detrend;MPD_Perfil
192;0.220409;0.400018;0.000000;0.310213
193;0.289112;0.419106;0.000000;0.354109
194;0.267407;0.227649;0.000000;0.247528
195;0.318834;0.272657;-0.000000;0.295745
196;0.310323;0.312199;-0.000000;0.311261
197;0.337937;0.358038;0.000000;0.347987
198;0.287060;0.317806;-0.000000;0.302433
199;0.261403;0.345395;-0.000000;0.303399
200;0.286819;0.352889;-0.000000;0.319854
201;0.267704;0.372148;-0.000000;0.319926
202;0.305211;0.311094;0.000000;0.308153
203;0.240437;0.348952;-0.000000;0.294695
204;0.250366;0.314401;-0.000000;0.282384
205;0.245169;0.317313;-0.000000;0.281241
206;0.211868;0.295590;0.000000;0.253729
207;0.307073;0.336775;-0.000000;0.321924
208;0.235254;0.270173;0.000000;0.252714
209;0.237371;0.227129;0.000000;0.232250
210;0.249633;0.225457;-0.000000;0.237545
211;0.227069;0.227651;-0.000000;0.227360
212;0.247032;0.218934;-0.000000;0.232983
213;0.253159;0.193504;-0.000000;0.223331
214;0.225157;0.225292;0.000000;0.225225
215;0.196302;0.200113;0.000000;0.198207
216;0.207716;0.205273;-0.000000;0.206494
217;0.183934;0.281126;-0.000000;0.232530
218;0.196589;0.288960;0.000000;0.242774
219;0.254228;0.253579;0.000000;0.253903
220;0.245991;0.229370;0.000000;0.237681
221;0.202239;0.230747;0.000000;0.216493
222;0.210744;0.359091;-0.000000;0.284917
223;0.247481;0.386853;0.000000;0.317167
224;0.429003;0.274759;0.000000;0.351881
225;0.419291;0.288366;0.000000;0.353828
226;0.230005;0.250607;-0.000000;0.240306
227;0.242130;0.224328;0.000000;0.233229
228;0.287513;0.226951;-0.000000;0.257232
229;0.287143;0.221984;0.000000;0.254564
230;0.321323;0.280747;-0.000000;0.301035
231;0.258891;0.282462;-0.000000;0.270676
232;0.277450;0.303891;-0.000000;0.290670
233;0.247834;0.243261;-0.000000;0.245548
234;0.206671;0.207020;-0.000000;0.206845
235;0.204375;0.191643;-0.000000;0.198009
236;0.200504;0.227596;0.000000;0.214050
237;0.313621;0.241089;0.000000;0.277355
238;0.302829;0.267030;-0.000000;0.284929
239;0.266218;0.297763;0.000000;0.281990
240;0.273376;0.330630;-0.000000;0.302003
241;0.254597;0.346077;-0.000000;0.300337
242;0.253787;0.305276;0.000000;0.279532
243;0.258127;0.287664;0.000000;0.272896
244;0.281625;0.332704;-0.000000;0.307164
245;0.258819;0.253496;0.000000;0.256158
246;0.257401;0.306123;0.000000;0.281762
247;0.264390;0.284161;0.000000;0.274276
248;0.270244;0.301163;0.000000;0.285703
249;0.293938;0.290279;0.000000;0.292109
250;0.296227;0.328239;-0.000000;0.312233
251;0.384294;0.354215;0.000000;0.369254
252;0.389839;0.393609;-0.000000;0.391724
253;0.368375;0.346680;-0.000000;0.357527
254;0.347028;0.445797;-0.000000;0.396412
255;0.398451;0.341558;-0.000000;0.370004
256;0.356693;0.354625;-0.000000;0.355659
257;0.351089;0.313190;-0.000000;0.332139
258;0.372914;0.326184;0.000000;0.349549
259;0.320717;0.333932;-0.000000;0.327325
260;0.266634;0.419546;0.000000;0.343090
261;0.295592;0.391420;-0.000000;0.343506
262;0.322380;0.392069;-0.000000;0.357224
263;0.314327;0.370367;-0.000000;0.342347
264;0.306447;0.387384;0.000000;0.346916
265;0.297577;0.393832;0.000000;0.345704
266;0.312238;0.326409;-0.000000;0.319323
267;0.344111;0.292016;0.000000;0.318064
268;0.389704;0.281971;0.000000;0.335838
269;0.375212;0.352403;0.000000;0.363807
270;0.375184;0.306055;-0.000000;0.340620
271;0.357718;0.418666;0.000000;0.388192
272;0.247566;0.373345;-0.000000;0.310455
273;0.349141;0.326108;0.000000;0.337624
274;0.346244;0.231347;-0.000000;0.288795
275;0.287183;0.234139;0.000000;0.260661
276;0.239622;0.330226;-0.000000;0.284924
277;0.267924;0.332977;-0.000000;0.300450
278;0.295071;0.302515;0.000000;0.298793
279;0.316595;0.304953;-0.000000;0.310774
280;0.350458;0.362738;-0.000000;0.356598
281;0.364826;0.400632;0.000000;0.382729
282;0.350078;0.338657;-0.000000;0.344367

MPD Final (Perfis Verticais);0.348464
